Farm_ID,Crop_Type,Farm_Location,Nitrogen_Percent,Phosphorus_ppm,Potassium_ppm,Soil_pH,Rainfall_mm,Yield_kg_per_ha,Planting_Date,Harvest_Date
GH-01271,Rice,Greater Accra,,17.1,157.5,5.51,1167.1,2042.8,2023-12-01,2024-03-14
GH-01882,Rice,Eastern,3.32,29.3,245.5,6.0,1278.7,2418.2,2023-07-31,2023-11-22
GH-00173,Cassava,Upper West,3.35,,116.1,6.11,967.4,9939.1,2023-06-25,2024-05-09
GH-00446,Cassava,Volta,,13.3,,5.79,1103.7,19710.2,2022-12-06,2023-12-13
GH-01822,Groundnut,Ashanti,2.24,38.1,91.5,4.97,1786.3,2207.1,2022-08-12,2022-12-13
GH-01755,Yam,Eastern,1.84,12.9,290.6,5.1,1704.2,15255.0,2023-07-20,2024-04-04
GH-01374,Rice,Northern,,41.6,108.5,5.51,1036.9,2081.0,2023-07-09,2023-10-24
GH-00673,Plantain,Upper West,1.17,34.3,161.4,5.45,1164.5,14864.3,2022-12-24,2023-04-25
GH-01180,Cassava,Volta,0.82,18.5,,6.04,1078.1,12057.3,2022-05-26,2023-10-13
GH-00696,Cocoa,Western,1.94,39.5,186.9,5.9,1785.1,1059.0,2022-02-03,2022-10-09
GH-00765,Yam,NR,1.79,7.7,117.4,4.84,1054.1,11744.2,2023-02-22,2023-09-20
GH-01700,Soybean,Northern,3.14,18.2,257.5,6.85,1105.3,,2023-10-30,2024-02-17
GH-00161,Groundnut,Greater Accra,2.12,6.4,,5.66,926.0,1938.7,2023-09-11,2024-01-21
GH-00846,Yam,Northern,2.4,47.2,162.7,6.64,1044.9,8484.9,2023-10-09,2024-05-03
GH-00468,Maize,Western,,37.6,208.4,6.71,1529.1,4424.0,2023-08-13,2023-12-22
GH-01080,Maize,Volta,3.27,47.9,283.6,4.92,1068.9,1885.6,2023-05-17,2023-10-10
GH-00312,Groundnut,Brong Ahafo,1.11,37.2,250.3,4.83,1378.8,1789.4,2023-07-16,2023-10-17
GH-01127,Cocoa,Volta,3.45,9.8,77.4,6.84,1024.0,719.2,2022-12-26,2023-08-03
GH-00629,Groundnut,Eastern,2.7,47.9,113.8,5.85,1385.6,1459.8,2022-09-22,2022-12-24
GH-00519,Soybean,Central,2.96,43.2,246.9,6.37,1086.2,,2023-08-20,2023-12-31
GH-01001,Plantain,Volta,3.41,41.8,143.6,4.69,1060.4,11060.1,2022-09-14,2023-01-20
GH-01016,Plantain,Greater Accra,2.86,38.2,272.1,5.71,1188.9,12461.9,2023-02-04,2023-07-03
GH-01002,Groundnut,Central,,38.7,107.8,4.67,1350.4,1410.9,2022-10-04,2023-02-27
GH-01725,Rice,Brong Ahafo,3.49,36.8,,6.9,1389.8,4428.7,2023-05-06,2023-08-25
GH-01733,,Brong Ahafo,0.54,,275.9,6.15,,1808.5,2022-04-01,2022-07-05
GH-00812,Cassava,Brong Ahafo,1.9,45.0,133.2,4.66,,18746.9,2023-11-02,2024-12-01
GH-00930,,Western,2.09,42.1,230.8,5.89,1702.0,1866.8,2023-06-11,2023-10-14
GH-01055,Maize,Eastern,1.63,35.9,55.0,6.03,1440.6,1932.5,2023-06-29,2023-10-02
GH-01226,Plantain,Eastern,0.97,7.8,185.2,7.09,1543.3,11384.6,2022-09-23,2022-12-28
GH-00577,Yam,Greater Accra,0.84,19.3,251.9,6.81,952.6,,2022-01-01,2022-10-20
GH-01097,Rice,Central,1.35,20.8,270.6,5.46,1432.4,4984.2,2023-01-20,2023-05-17
GH-00310,Plantain,Volta,2.67,30.7,139.1,7.12,1064.1,13994.3,2022-01-28,2022-05-22
GH-01982,Cocoa,Western,2.36,21.9,214.8,7.07,1843.1,531.4,2022-06-14,2023-01-14
GH-00069,,Ashanti,0.61,47.0,126.4,7.38,,1145.4,2023-10-12,2024-07-29
GH-01068,Groundnut,Volta,1.34,19.5,129.1,6.3,1086.3,,2023-03-28,2023-07-31
GH-00758,Cassava,Greater Accra,2.74,15.7,296.2,5.39,1103.7,9228.8,2023-12-09,2024-08-05
GH-01017,Rice,Ashanti,1.26,27.5,260.2,5.85,,4970.5,2022-08-05,2022-11-24
GH-01701,Yam,Eastern,,35.2,289.0,6.13,1498.1,12403.6,2023-10-11,2024-05-27
GH-00464,Maize,Ashanti,0.71,8.1,165.0,6.24,1331.1,2753.5,2022-09-03,2022-12-29
GH-01947,Maize,Greater Accra,2.24,20.1,264.8,5.01,1090.4,2918.8,2023-01-31,2023-06-11
GH-01737,Yam,Western,2.33,17.0,81.7,5.5,1554.8,11290.6,2022-04-21,2023-02-03
GH-01362,Plantain,Northern,3.28,33.1,299.9,6.9,1105.7,8354.9,2023-03-26,2023-08-03
GH-01997,Rice,Eastern,1.6,32.7,200.3,6.42,1294.9,4628.1,2022-01-07,2022-04-26
GH-00005,Cassava,Ashanti,2.67,46.5,187.7,5.99,1408.0,13613.0,2022-06-07,2023-09-13
GH-01705,,GA,2.07,36.6,169.9,6.92,939.6,13135.8,2022-03-22,2023-09-02
GH-00770,Maize,Greater Accra,1.18,35.1,88.5,6.91,832.0,3456.2,2022-06-09,2022-10-28
GH-00958,Maize,Upper West,1.41,48.6,182.7,7.3,1128.3,4190.5,2023-07-28,2023-11-08
GH-00267,Cocoa,Upper East,1.79,41.9,253.6,6.85,1034.6,1024.9,2023-07-28,2024-02-23
GH-01858,Maize,Upper East,0.7,27.5,279.5,5.48,1058.2,4081.3,2022-04-13,2022-09-08
GH-01579,Plantain,Upper East,0.7,44.9,277.4,7.08,936.7,7163.3,2023-01-06,2023-06-04
GH-00853,Yam,Upper East,2.01,44.5,258.4,4.95,978.6,15596.9,2023-09-07,2024-05-15
GH-00315,Cassava,Ashanti,3.15,17.7,67.4,5.09,,14890.7,2022-12-14,2023-09-23
GH-00461,Rice,Northern,2.29,38.7,163.8,7.32,1063.3,3154.9,2022-07-24,2022-12-11
GH-00944,Yam,Volta,3.43,17.0,,4.71,1135.6,6536.5,2023-08-12,2024-02-20
GH-01796,Rice,Upper East,2.07,37.7,292.4,6.93,924.0,,2023-01-11,2023-04-20
GH-01634,Groundnut,Volta,2.6,27.6,51.1,5.64,1142.2,1345.7,2022-06-06,2022-09-21
GH-01447,Soybean,Volta,2.8,25.3,272.0,5.4,1316.9,2499.8,2022-06-22,2022-09-22
GH-00794,Cocoa,Eastern,2.85,,230.5,4.71,1428.1,987.0,2022-01-17,2022-11-01
GH-01203,Cocoa,Upper East,2.87,7.8,96.6,4.91,1099.4,1182.1,2022-05-24,2023-03-17
GH-00309,Soybean,Central,1.59,10.0,241.3,6.09,1150.0,1510.2,2022-10-27,2023-03-21
GH-00756,Plantain,Upper West,3.11,44.0,53.4,5.19,1189.3,14340.6,2022-12-24,2023-04-29
GH-01956,Maize,Brong Ahafo,1.5,26.8,139.4,5.9,1257.6,4405.1,2022-04-24,2022-09-03
GH-01928,Cassava,Central,2.38,35.4,,4.88,1136.3,13629.2,2023-03-17,2023-12-09
GH-01337,Cassava,GA,3.16,23.3,294.4,7.19,1119.3,16357.3,2022-07-20,2023-11-11
GH-00783,Soybean,Western,2.82,36.7,220.9,4.67,2021.1,2692.8,2023-05-21,2023-10-01
GH-00353,Maize,Northern,3.42,6.8,293.3,6.17,1147.3,2067.8,2022-11-06,2023-03-27
GH-00112,Groundnut,Upper West,1.81,45.3,111.1,6.52,,,2022-06-29,2022-11-03
GH-00105,Rice,Eastern,0.89,26.3,56.2,5.55,1261.2,2326.1,2023-03-25,2023-07-03
GH-00146,Groundnut,Brong Ahafo,2.68,38.7,247.5,5.35,1113.3,,2023-08-08,2023-12-29
GH-00851,Groundnut,Upper East,1.88,14.9,240.2,6.19,983.5,2190.3,2022-05-05,2022-08-10
GH-00656,Yam,Eastern,2.59,39.1,258.3,6.65,1741.5,17893.0,2023-01-10,2023-11-03
GH-01293,Cocoa,Northern,1.36,45.7,170.5,6.16,1096.7,414.2,2023-10-12,2024-06-10
GH-00630,Groundnut,Volta,3.14,44.0,264.6,6.0,1118.7,1271.9,2023-08-04,2023-11-19
GH-01083,Yam,Northern,,39.9,116.7,5.93,1054.6,16623.6,2023-03-04,2023-09-22
GH-00777,Maize,Upper East,0.69,15.8,155.6,4.74,986.8,3167.6,2023-08-12,2023-11-12
GH-01119,Yam,Greater Accra,2.88,28.4,63.8,5.94,919.0,8737.1,2022-10-11,2023-05-03
GH-01334,Soybean,Greater Accra,1.41,,,5.43,1038.6,,2023-08-05,2023-11-27
GH-00054,Cocoa,Greater Accra,0.83,18.8,157.7,6.45,978.4,866.4,2022-09-26,2023-05-29
GH-01610,Cassava,Brong Ahafo,1.39,46.7,158.8,6.67,1358.5,11078.9,2022-07-28,2023-09-13
GH-01020,Yam,Upper East,1.51,47.2,209.6,6.62,1085.8,15918.7,2022-08-28,2023-03-10
GH-00660,,Western,3.44,24.2,113.5,6.77,1842.1,4508.0,2022-11-03,2023-02-12
GH-01480,Soybean,Northern,0.5,36.0,188.8,6.07,1108.6,1594.4,2023-12-24,2024-04-12
GH-01129,Plantain,Eastern,1.86,25.4,282.1,4.99,1737.0,10106.7,2023-04-30,2023-09-22
GH-00905,Cassava,Eastern,3.15,25.0,176.6,4.79,1748.8,10941.8,2023-08-13,2024-06-19
GH-01588,Maize,Eastern,2.58,22.5,135.1,7.17,1468.7,2874.1,2023-12-29,2024-04-08
GH-01462,Yam,Ashanti,,20.2,210.7,6.96,1419.7,13880.8,2023-12-15,2024-09-02
GH-01031,Groundnut,Upper West,2.37,33.4,86.4,5.78,983.1,1835.8,2022-05-12,2022-08-11
GH-01150,Maize,Western,3.09,5.3,161.2,5.55,1597.4,2592.5,2023-08-10,2023-12-02
GH-00338,Cassava,Eastern,2.76,42.3,63.4,5.12,1460.4,8886.4,2024-11-30,2023-08-10
GH-00483,Yam,Upper East,2.34,26.4,192.8,7.3,943.4,9041.4,2023-12-08,2024-09-07
GH-01767,Plantain,Central,1.35,29.4,52.6,6.83,1163.2,10238.4,2023-07-03,2023-11-04
GH-01516,Plantain,Western,1.59,19.5,246.6,5.35,2059.4,,2023-02-13,2023-06-22
GH-00890,Maize,Northern,0.78,7.4,269.4,4.75,1101.3,2145.8,2022-01-31,2022-06-05
GH-01403,Maize,Central,2.16,19.6,226.3,5.25,1035.3,,2022-06-11,2022-09-25
GH-01244,Groundnut,Upper East,1.76,46.0,152.8,7.49,919.5,847.8,2023-04-10,2023-08-04
GH-00181,Yam,Central,2.18,49.6,,4.83,,14791.4,2022-06-29,2023-03-17
GH-00314,Groundnut,Upper East,1.81,25.0,275.8,5.78,936.0,1353.9,2022-11-20,2023-04-13
GH-01232,Soybean,Brong Ahafo,3.24,10.8,159.2,5.69,,1337.2,2022-12-11,2023-04-22
GH-00901,Yam,Central,3.43,37.5,175.9,5.13,1244.9,15416.8,2023-06-20,2024-01-10
GH-01003,Maize,Upper West,2.72,36.5,233.7,5.06,977.3,1672.3,2023-03-14,2023-07-08
GH-01534,,Volta,2.77,35.0,180.0,5.8,1318.3,15072.2,2023-09-05,2024-04-02
GH-01690,Cocoa,Upper West,1.59,11.4,81.9,6.64,1079.4,830.3,2022-10-31,2023-08-02
GH-00162,Maize,Central,0.68,29.1,278.8,6.72,1249.3,3502.1,2023-09-29,2024-01-17
GH-00129,Cocoa,Eastern,0.96,9.7,193.8,7.0,1675.6,805.9,2022-11-23,2023-09-11
GH-00602,Soybean,Central,1.46,23.0,166.4,4.96,1391.8,,2023-06-29,2023-11-08
GH-00050,Plantain,Western,2.0,8.7,,5.42,1912.5,11840.7,2023-08-20,2024-01-01
GH-01159,Cocoa,Western,1.82,41.8,191.3,7.46,2061.5,516.7,2023-11-09,2024-07-04
GH-01245,Groundnut,Eastern,2.31,11.9,109.1,6.86,1558.0,,2023-01-10,2023-05-01
GH-01981,Yam,Ashanti,3.3,7.7,132.2,6.46,1324.0,8017.2,2022-11-24,2023-08-25
GH-00172,Yam,Northern,1.56,17.0,,5.28,1142.2,9711.5,2022-07-10,2023-03-15
GH-01473,Maize,Greater Accra,3.39,49.0,,7.2,1095.7,2233.1,2022-12-14,2023-04-03
GH-00975,Cocoa,Western,0.63,6.0,287.8,7.12,1812.3,974.7,2022-03-20,2022-10-29
GH-01799,Groundnut,Ashanti,2.27,24.9,66.1,7.04,1536.4,981.2,2023-12-24,2024-05-02
GH-01375,Cassava,Volta,0.52,,71.1,6.2,1271.7,18789.5,2022-01-17,2022-11-29
GH-00739,Yam,Upper East,1.67,37.1,298.2,5.61,1000.6,16722.4,2023-02-24,2023-11-07
GH-01580,Cassava,Northern,3.17,5.5,295.6,6.13,1063.7,9689.6,2023-11-14,2024-10-05
GH-01306,Groundnut,Greater Accra,2.8,45.4,245.4,5.92,1042.8,1685.7,2022-02-06,2022-10-29
GH-00505,Groundnut,Volta,3.17,43.7,130.4,6.07,1028.8,1528.7,2023-08-16,2024-01-03
GH-01434,Cocoa,Greater Accra,0.75,32.7,64.9,5.31,911.2,791.6,2023-05-28,2024-03-20
GH-00191,Groundnut,Western,0.83,49.0,,4.85,1639.4,1981.6,2023-03-26,2023-07-21
GH-00048,Groundnut,Western,3.5,49.4,72.6,6.16,1817.1,888.5,2022-03-08,2022-11-17
GH-00223,Plantain,Eastern,2.85,49.1,199.4,5.88,1611.0,7003.2,2022-03-21,2022-08-12
GH-01909,Rice,Northern,3.22,34.6,222.7,6.8,,4068.6,2022-09-23,2023-01-24
GH-00545,Maize,Brong Ahafo,1.78,20.6,214.1,6.1,1136.5,2917.6,2022-08-09,2022-11-23
GH-01419,,Upper West,3.43,38.1,150.4,6.37,979.0,7248.2,2023-10-24,2023-02-24
GH-01483,Plantain,Upper East,0.56,8.7,282.8,5.28,1034.2,11302.6,2022-08-16,2022-11-23
GH-00849,,Brong Ahafo,1.98,8.1,243.0,4.54,1266.3,2089.7,2023-02-27,2023-07-05
GH-01821,Groundnut,Northern,2.46,39.9,129.5,5.65,1128.0,940.8,2023-09-10,2024-01-22
GH-00755,Rice,Greater Accra,3.08,14.6,211.4,6.18,878.9,3341.2,2022-01-10,2022-05-29
GH-01682,Rice,Ashanti,1.39,32.3,85.3,6.31,1713.5,4227.9,2022-01-24,2022-06-06
GH-00478,Soybean,Central,1.25,35.3,105.4,6.48,1221.9,1181.0,2022-05-22,2022-08-28
GH-01314,Yam,Western,3.15,,251.4,5.61,1748.9,14518.8,2023-12-15,2024-08-05
GH-00976,Rice,Brong Ahafo,0.88,9.1,205.6,4.97,1317.3,3836.8,2022-05-19,2022-10-10
GH-01395,Yam,Northern,1.34,47.9,221.7,6.25,1102.7,6370.8,2023-11-03,2024-08-14
GH-01223,Maize,Volta,0.73,16.0,67.6,5.32,1228.2,4352.5,2022-06-04,2022-09-05
GH-00306,Yam,Central,2.1,16.0,264.7,5.52,1269.1,16328.3,2022-04-14,2022-12-26
GH-01575,Soybean,Central,2.99,25.7,212.7,4.56,1037.6,2467.8,2023-10-26,2024-03-12
GH-00239,Cassava,Eastern,3.47,23.1,140.8,6.5,1648.3,14679.5,2022-04-20,2023-02-10
GH-01161,Soybean,Northern,3.32,27.0,290.3,4.74,1049.9,1137.5,2022-09-03,2023-01-24
GH-01812,Maize,Upper West,3.28,23.6,66.6,4.63,1105.6,1736.2,2022-02-09,2022-05-24
GH-00114,Plantain,Upper East,1.53,35.3,134.8,6.41,1031.9,9067.2,2022-10-22,2023-02-04
GH-01553,Groundnut,Upper East,1.36,49.7,141.5,7.04,1047.3,1591.2,2022-02-04,2022-06-12
GH-00303,Cassava,Volta,3.29,15.4,182.3,6.08,1382.3,12000.8,2023-01-30,2023-11-16
GH-01785,Cassava,Upper West,0.58,12.8,131.0,7.07,1124.4,,2023-09-30,2025-03-21
GH-00166,Maize,Greater Accra,1.99,30.3,200.5,6.92,1258.9,2395.9,2023-11-05,2024-02-14
GH-01093,Soybean,Western,1.45,38.9,229.7,4.53,1768.1,,2022-02-26,2022-06-20
GH-01155,Soybean,Upper East,2.77,44.9,161.4,6.44,907.3,2039.1,2022-07-05,2022-10-24
GH-00479,Maize,Ashanti,0.51,20.2,251.4,7.01,1846.3,2315.5,2023-11-29,2023-08-13
GH-00707,Cocoa,Volta,0.63,32.4,143.4,5.52,1289.8,1106.0,2023-02-06,2023-10-16
GH-00157,Groundnut,Upper East,2.93,41.7,196.8,6.83,1044.9,2163.3,2022-10-27,2023-03-24
GH-00377,Cocoa,Western,1.66,29.1,210.7,5.68,1595.3,503.3,2023-11-11,2024-07-12
GH-00376,Cocoa,Greater Accra,2.02,48.3,194.3,6.32,,1094.5,2023-11-06,2024-07-17
GH-01376,Yam,Northern,0.69,29.4,114.8,6.99,1131.0,10057.3,2022-07-02,2023-02-16
GH-01175,Maize,NR,,12.3,167.5,6.97,1119.8,3093.4,2022-01-06,2022-04-26
GH-00089,Cocoa,Volta,3.01,49.0,182.4,6.56,1041.6,699.0,2023-05-07,2024-02-02
GH-01698,Groundnut,Upper East,0.95,49.7,180.2,5.56,942.0,,2022-12-01,2023-03-07
GH-01386,Cocoa,Western,1.17,49.2,238.4,6.5,1562.0,482.9,2023-07-12,2024-03-14
GH-01441,Maize,Volta,1.01,39.3,,5.43,1314.5,4090.0,2023-04-09,2023-08-22
GH-00925,Maize,Volta,1.92,27.5,230.3,5.97,1283.5,4338.6,2022-10-03,2022-06-08
GH-01168,Plantain,Central,2.55,47.9,266.7,6.7,1319.7,,2022-04-04,2022-07-19
GH-01366,Plantain,Eastern,3.07,11.3,115.3,6.81,1318.6,,2022-07-02,2022-11-08
GH-00782,Cassava,Northern,2.86,,112.7,7.27,1106.2,17757.4,2022-03-16,2023-07-25
GH-01404,Plantain,Volta,1.15,41.9,233.9,6.56,1216.4,14104.7,2022-12-10,2023-03-16
GH-01496,Yam,Brong Ahafo,1.05,17.9,107.6,5.54,1331.8,12620.5,2023-07-13,2024-04-16
GH-00018,Soybean,Western,0.75,41.6,218.2,7.21,1856.5,2271.0,2023-06-03,2023-09-04
GH-00409,Cocoa,Volta,3.05,43.3,146.8,6.18,1217.9,589.3,2023-05-19,2024-02-09
GH-00394,Soybean,Volta,0.86,43.5,263.7,5.88,1320.5,2401.2,2023-12-24,2024-05-21
GH-00725,,Western,0.65,,108.1,6.35,2016.4,2341.4,2023-10-29,2024-03-02
GH-01664,Cassava,Volta,,44.7,102.5,5.31,1396.1,9146.4,2022-10-07,2023-09-09
GH-01335,Cocoa,Central,1.09,27.9,232.0,6.2,1371.7,920.3,2022-02-16,2022-10-28
GH-01040,Cassava,Volta,1.21,47.7,280.5,6.9,1342.6,14927.7,2022-02-05,2023-05-21
GH-00885,Soybean,Brong Ahafo,2.25,43.8,63.6,6.51,1225.3,1061.8,2022-08-29,2022-12-22
GH-01104,Maize,Ashanti,2.29,,227.8,5.12,1663.7,3767.6,2022-08-26,2023-01-19
GH-01550,Soybean,Brong Ahafo,,9.3,78.6,7.18,1146.9,2062.7,2022-03-08,2022-07-14
GH-01778,Cassava,Upper West,3.06,35.5,184.5,4.89,949.6,17842.6,2023-06-09,2024-06-20
GH-00091,Soybean,Ashanti,3.35,49.8,124.3,6.45,1419.6,2112.1,2022-06-21,2022-10-22
GH-01765,,Brong Ahafo,2.97,43.2,260.8,6.3,1229.5,15925.5,2023-11-11,2024-07-18
